File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Animation.cpp,69,37,17,6,14,0,18,79,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\AnimationComponent.cpp,352,194,92,35,44,0,114,410,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Camera2D.cpp,84,41,23,3,13,0,30,124,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Card.cpp,14,8,2,0,6,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Circle.cpp,20,13,4,0,7,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\CollisionComponent.cpp,16,9,3,0,7,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\CollisionSystem.cpp,1539,1119,738,201,283,0,137,816,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Component.cpp,16,8,2,0,8,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Controller.cpp,338,189,104,24,49,0,100,363,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Deck.cpp,156,131,70,22,25,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\DoorLogicComponent.cpp,130,107,49,19,19,0,4,21,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyAttackState.cpp,244,186,110,33,56,0,2,10,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyIdleState.cpp,92,46,23,5,15,0,31,101,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyLogicComponent.cpp,292,187,98,27,41,0,64,256,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyState.cpp,14,8,2,0,6,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyTargetState.cpp,158,131,62,23,26,0,1,9,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EntitySystem.cpp,768,499,295,96,136,0,133,584,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\ErrorSystem.cpp,22,15,5,1,7,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Font.cpp,378,200,102,38,49,0,129,486,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\FontCache.cpp,84,55,26,6,13,0,16,59,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Game.cpp,381,267,154,27,63,0,51,160,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\GameInitSystem.cpp,149,87,57,10,25,0,37,109,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Grid.cpp,219,162,94,24,45,0,12,85,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\ICache.cpp,13,7,2,0,6,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\InputComponent.cpp,311,199,99,39,49,0,63,250,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\InputSystem.cpp,535,405,201,65,89,0,41,182,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Keyboard.cpp,35,25,12,3,10,0,0,0,0,0
